,hashtags,hashtagsDate,hashtagsedge_liked_by.count
1,[],2/2/19 8:19,9502
2,"['oregon', 'corvallisor', 'oregonstateuniversity', 'pac12', 'osu', 'runningback', 'corvallis', 'beavers', 'oregonstate', 'beavs', 'cfb', 'gobeavs', 'beavernation']",6/26/17 10:32,5467
3,"['collegegameday', 'oregonstateuniversity', 'pac12', 'osu', 'osufootball', 'beavers', 'collegefootball', 'oregonstate', 'cfb', 'gobeavs', 'oregonstatefootball', 'americanfootball_all_day']",7/14/17 15:47,5259
4,"['BofO1k', 'OregonStateUniversity', 'ForestPark', 'McDonaldDunnForest', 'CommunityFirst', 'BestOfOregon']",9/22/15 22:36,4833
5,"['GOBeaVs', 'oregonstateuniversity', 'osu', 'beaveralumni', 'beavers', 'oregonstate']",3/4/18 8:25,4673
6,"['LewisburgSaddle', 'OregonStateUniversity', 'WillametteValley', 'BofO1k', 'ForestPark', 'McDonaldDunnForest', 'BestOfOregon']",4/8/16 10:16,4535
7,"['tibialhemimelia', 'sonnetandhaiku', 'oregonstateuniversity', 'perfectlyimperfect', 'fosterkitten', 'notailnoproblem']",3/16/18 9:52,4373
8,"['horsesofinstagram', 'oregonstateuniversity', 'riverlife', 'cabinliving', 'oregonexplored', 'oregontravel', 'summervacation', 'oregonweddings', 'vicidolls', 'horsebackriding', 'cabinlife', 'oregoncoast', 'oregontrails', 'roughcountry', 'brasadaranch']",6/25/18 9:01,4142
9,"['tibialhemimelia', 'TiggerTheSpecialCat', 'oregonstateuniversity', 'catorthopedicsurgery', 'lovemeow', 'thedodo']",2/4/19 18:48,4119
10,"['TiggerTheSpecialCat', 'oregonstateuniversity']",12/17/18 22:52,4054
11,"['PeavyArboretum', 'BestOfOregon', 'OregonStateUniversity', 'McDonaldForest']",3/10/18 11:04,3842
12,"['tibialhemimelia', 'fosterkittenlovesonnetandhaiku', 'oregonstateuniversity', 'fosterkitten', 'notailnoproblem', 'blueeyedkitten', 'catsofinstagram']",3/26/18 9:39,3684
13,"['TiggerTheSpecialCat', 'oregonstateuniversity']",12/17/18 10:31,3342
14,"['TiggerTheSpecialCat', 'oregonstateuniversity', 'differentlyabled', 'perfectlyimperfect', 'fosterkitten']",2/6/19 0:45,3201
15,"['california', 'oregonstateuniversity', 'football', 'delasallefootball', 'bayarea', 'youth', 'gobeavs', 'nflfootball']",5/8/18 14:39,3030
16,"['sonnetandhaiku', 'oregonstateuniversity', 'spayandneuter', 'fosterkitten', 'swimmingcat']",1/12/19 17:57,2929
17,"['OregonStateUniversity', 'TiggerTheSpecialCat']",1/22/19 16:58,2725
18,[],3/19/18 15:19,2676
19,"['OregonStateUniversity', 'GoldenState', 'psychedelic', 'euphoria', 'Denver', 'psilocybin', 'Oregon', 'hallucinogenicmushrooms', 'mushrooms', 'hallucinations', 'California', 'magicmushrooms']",5/8/18 7:50,2572
