"","tags","time"
"2","['oregon', 'corvallisor', 'oregonstateuniversity', 'pac12', 'osu', 'runningback', 'corvallis', 'beavers', 'oregonstate', 'beavs', 'cfb', 'gobeavs', 'beavernation']","2017"
"3","['collegegameday', 'oregonstateuniversity', 'pac12', 'osu', 'osufootball', 'beavers', 'collegefootball', 'oregonstate', 'cfb', 'gobeavs', 'oregonstatefootball', 'americanfootball_all_day']","2017"
"4","['BofO1k', 'OregonStateUniversity', 'ForestPark', 'McDonaldDunnForest', 'CommunityFirst', 'BestOfOregon']","2015"
"5","['GOBeaVs', 'oregonstateuniversity', 'osu', 'beaveralumni', 'beavers', 'oregonstate']","2018"
"6","['LewisburgSaddle', 'OregonStateUniversity', 'WillametteValley', 'BofO1k', 'ForestPark', 'McDonaldDunnForest', 'BestOfOregon']","2016"
"7","['tibialhemimelia', 'sonnetandhaiku', 'oregonstateuniversity', 'perfectlyimperfect', 'fosterkitten', 'notailnoproblem']","2018"
"8","['horsesofinstagram', 'oregonstateuniversity', 'riverlife', 'cabinliving', 'oregonexplored', 'oregontravel', 'summervacation', 'oregonweddings', 'vicidolls', 'horsebackriding', 'cabinlife', 'oregoncoast', 'oregontrails', 'roughcountry', 'brasadaranch']","2018"
"9","['tibialhemimelia', 'TiggerTheSpecialCat', 'oregonstateuniversity', 'catorthopedicsurgery', 'lovemeow', 'thedodo']","2019"
"10","['TiggerTheSpecialCat', 'oregonstateuniversity']","2018"
"11","['PeavyArboretum', 'BestOfOregon', 'OregonStateUniversity', 'McDonaldForest']","2018"
"12","['tibialhemimelia', 'fosterkittenlovesonnetandhaiku', 'oregonstateuniversity', 'fosterkitten', 'notailnoproblem', 'blueeyedkitten', 'catsofinstagram']","2018"
"13","['TiggerTheSpecialCat', 'oregonstateuniversity']","2018"
"14","['TiggerTheSpecialCat', 'oregonstateuniversity', 'differentlyabled', 'perfectlyimperfect', 'fosterkitten']","2019"
"15","['california', 'oregonstateuniversity', 'football', 'delasallefootball', 'bayarea', 'youth', 'gobeavs', 'nflfootball']","2018"
"16","['sonnetandhaiku', 'oregonstateuniversity', 'spayandneuter', 'fosterkitten', 'swimmingcat']","2019"
"17","['OregonStateUniversity', 'TiggerTheSpecialCat']","2019"
"19","['OregonStateUniversity', 'GoldenState', 'psychedelic', 'euphoria', 'Denver', 'psilocybin', 'Oregon', 'hallucinogenicmushrooms', 'mushrooms', 'hallucinations', 'California', 'magicmushrooms']","2018"
"20","['oregonstateuniversity', 'osu', 'osufootball', 'beavers', 'collegefootball', 'gobeavers', 'cfb', 'americanfootball_all_day']","2017"
"22","['oregonstateuniversity', 'tinkle', 'grateful', 'ninja', 'basketball', 'pac12', 'oregonstate', 'lovemyjob', 'pac12basketball', 'beautifulpeople', 'amazing', 'love', 'bestcoach', 'starplayer', 'inspiration', 'teamwork', 'oregon', 'warriors', 'fatherandson', 'bestplayer', 'ewok', 'pac12mediaday', 'blessed']","2016"
"23","['fosterkittenlovesonnetandhaiku', 'tibialhemimelia', 'formerfoster', 'oregonstateuniversity', 'differentlyabled', 'perfectlyimperfect', 'spayandneuter']","2019"
"24","['Smashletes']","2018"
"25","['oregonstateuniversity', 'pac12', 'osu', 'osufootball', 'beavers', 'oregonstate', 'gobeavs', 'americanfootball_all_day']","2017"
"26","['TiggerTheSpecialCat', 'oregonstateuniversity']","2018"
"27","['civilwar', 'collegegameday', 'oregonstateuniversity', 'osu', 'beavers', 'osubeavers', 'collegefootball', 'oregonstate', 'beavs', 'riddell', 'cfb', 'gobeavs', 'oregonstatebeavers', 'speedflex', 'americanfootball_all_day']","2016"
"28","['liveauthentic', 'PNWmoms', 'oregonstateuniversity', 'documentingmotherhood', 'balloonarch', 'gobeavers', 'livethelittlethings', 'fallstyle', 'momentsinmotherhood', 'fredmeyer', 'gamedaygreats', 'motherhoodrising', 'mytinymoments', 'letthembelittle', 'simplychildren', 'momblogger', 'mommybloggers', 'photooftheday', 'collegegameday', 'ohheymama', 'portlandblogger', 'pdxblogger', 'toddlerstyle', 'sponsored', 'footballparty', 'oregonstatefootball']","2018"
"29","['oregon', 'civilwar', 'oregonstateuniversity', 'beavers', 'oregonstate', 'beavs', 'gobeavs', 'oregonstatefootball', 'beavernation']","2016"
"30","['citythekitty', 'mypurpose', 'cooltohaveclaws']","2015"
"32","['ncaa', 'oregonstateuniversity', 'pac12', 'CFB', 'OSUfootball', 'beavers', 'collegefootball', 'springball', 'oregonstate', 'gobeavers', 'OSU', 'gobeavs', 'oregonstatebeavers', 'oregonstatefootball', 'americanfootball_all_day', 'OSUbeavers']","2017"
"33","['heskicks', 'airjordan', 'collectivekicks', 'oregonstateuniversity', 'gobeavs']","2017"
"34","['oregonstateuniversity']","2019"
"35","['turnup', 'girlstrip', 'vacation', 'party', 'bestfriendgoals', 'oregonstateuniversity', 'shenanigans', 'osu', 'corvallis', 'oregonstate', 'gobestfriendthatsmybestfriend', 'nightout', 'corvegas', 'weekendvibes', 'vegas']","2018"
"36","['beauty', 'followforfollow', 'oregonstateuniversity', 'hot', 'comment4comment', 'sunset', 'naturephotography', 'commentforcomment', 'Corvallis', 'spring', 'nature', 'contrast', 'follow4follow', 'naturelovers', 'springtime', 'comment', 'tree', 'forest', 'oregon', 'blue', 'sky', 'beautiful']","2016"
"37","['oregonflag', 'oregonstateuniversity', 'oregonstateflag', 'osu', 'crests', 'graphicdesign', 'universities', 'Repost', 'pentagram', 'oregonstatelogo', 'oregonstate', 'benny', 'beavernation', 'corvallis', 'beavers', 'identitydesign', 'oregon', 'pentagramdesign', 'art', 'aiga', 'logos', 'identity', 'landgrantuniversity']","2017"
"38","['oregoncoasttrail', 'oregonphotography', 'world_beautifulshots', 'oregonexplored', 'Oregoncoast', 'oregonmade', 'oregonartist', 'OregonStateUniversity', 'oregonnw', 'oregontrail', 'oregonisawesome', 'oregonlife', 'oregoncoast', 'oregonlove', 'oregoncoastlove', 'oregoncoastphotographer', 'oregon', 'oregoncoastfind', 'oregoncoastexplored', 'oregoncoastvacation', 'oregonphotographer']","2018"
"39","['oregon', 'f150', 'weekend', 'twd', 'usa', 'oregonstateuniversity', 'fordlife', '2a', 'tgif', 'merica', 'igmilitia', 'lucille', 'trainhard', 'weekendfun', 'tgifridays', 'beavernation']","2016"
"40","['BeaverNation', 'GoBeavs']","2017"
"41","['dancers', 'fusion', 'groupdance', 'dancelife', 'team', 'thefusionists', 'oregonstateuniversity', 'passion', 'portlandoregon', 'bollywood', 'danceon', 'indiandance', 'bollyfusion', 'bollyshake', 'snehadesaichoreography']","2019"
"44","['oregon', 'like', 'likeforlike', 'blue', 'followforfollow', 'oregonstateuniversity', 'spring', 'corvallis', 'nature', 'comment4comment', 'sky', 'clouds', 'like4like', 'comment', 'beautiful', 'follow4follow', 'white', 'college']","2016"
"46","['KYBOE', 'ad', 'LIVEBIGGER']","2017"
"48","['OregonStateUniversity', 'MedfordOregon']","2018"
"49","['GoBeavs', '3Peat']","2017"
